text,true_label,ai_label
"Шведский боец смешанного стиля (MMA) Хамзат Чимаев отреагировал на сравнения с россиянином Хабибом Нурмагомедовым. Его слова передает  MMA Junkie . 26-летний спортсмен признался, что ему не важно, что его часто называют «Хабибом версии 3.0». «Мне нравится то, как он дерется. Для меня он лучший боец на сегодня без учета весовых категорий», — отметил он. При этом Чимаев подчеркнул, что скоро он опередит Нурмагомедова и займет место лучшего в Абсолютном бойцовском чемпионате (UFC). Он также подчеркнул, что не видит для себя никакой сложности в данном виде спорта. «Я валю людей и получаю за это деньги», — заключил он. Ранее 26 июля Чимаев  одержал  вторую победу в UFC за 10 дней, установив рекорд организации. Уроженец Чечни дебютировал в промоушене 16 июля. Эффектный старт Чимаева в UFC оценили эксперты и журналисты. Уже после дебюта шведа неоднократно сравнивали с Нурмагомедовым, называя Чимаева «новым Хабибом». Нурмагомедов — чемпион UFC в легком весе. Россиянин занимает второе место в рейтинге лучших бойцов UFC без учета весовых категорий. На его счету 28 побед в 28 поединках в MMA. Чимаев родился в Чечне. Он переехал в Швецию в возрасте 16 лет. На счету бойца восемь побед и ни одного поражения в MMA.",Спорт,Спорт
"Жительница Сингапура сняла на видео, как две крысы устроили поединок на глазах у кота. На запись обратил внимание портал Bored Panda. 8 июля женщина под ником Cheez Goh опубликовала в  Facebook  видео с крысами и предложила зрителям угадать, за кем в итоге погнался кот. На кадрах крысы дерутся в одном из жилых домов. Кот стоит поодаль и терпеливо наблюдает за их битвой. Видео прерывается, когда грызуны разбегаются в разные стороны. «Шла домой и стала свидетелем такой забавной картины! — написала Cheez Goh под видео. — Мы привыкли к дерущимся котам. А вы когда-нибудь видели, как дерутся крысы? Кот поступил мудро, что не полез в чужую разборку. Угадаете, за кем в итоге погнался кот? За той, что побежала в мою сторону, или той, которая умчалась в противоположном направлении? Победителя угощу кофе». Публикация стала вирусной и собрала десятки комментариев. Люди принялись шутить, вспоминать сцены из фильмов и угадывать мысли героев видео. Одни заявляли, что крысы устроили битву, чтобы отвлечь кота. Другие же фантазировали, что именно кот заставил грызунов драться, а сам наслаждался зрелищем. Позже Cheez Goh рассказала журналистам, что именно произошло за кадром. «Одна из крыс побежала в мою сторону, не заметив, что я снимаю ее на видео. Я испугалась, что она приближается ко мне, и встрепенулась. Тогда крыса развернулась в сторону кота. Правда, кот все равно упустил ее — та улизнула в канализацию. Крыса оказалась очень шустрой!» — отметила она. Ранее  сообщалось , что в испанском городе Малага крупная крыса дала отпор напавшей на нее бродячей кошке. На записи видно, как черная кошка пытается схватить огромную крысу, но через несколько секунд грызун решительно прыгает в ее сторону, а хищница пятится.",Из жизни,Из жизни
"Племянница фюрера Третьего рейха Адольфа Гитлера Ангелика (Гели) Раубаль была его единственной любовью, считает итальянский писатель Фабиано Массими. Детали их отношений он раскрыл в своей новой книге «Ангел Мюнхена» (El ángel de Múnich), сообщает La Vanguardia. Как рассказал изданию Массими, хотя его книга считается романом, она основана на исторических документах, которые он изучал в процессе работы. «Мой итальянский издатель подсчитал, что 91 процент написанного — это правда. В книге есть библиография из 70 источников, с которыми я ознакомился», — пояснил он. По словам писателя, отношения между Гитлером и Гели, которая была дочерью его сводной сестры, начались, когда ему было 36 лет, а ей — 17. С 1929 года они начали жить вместе в квартире в Мюнхене. При этом доподлинно неизвестно, связывали ли их сексуальные отношения, однако, отметил Массими, есть информация о том, что будущий фюрер изображал свою племянницу обнаженной на нескольких зарисовках углем — на данный момент эти изображения не найдены. Кроме того, есть свидетельства, что Гитлер неоднократно заявлял, что Гели была единственной женщиной, на которой он хотел жениться. Отдельное внимание в своей книге автор уделил обстоятельствам смерти Раубаль в сентябре 1931 года, которые до сих пор остаются загадочными. По словам Массими, к тому времени отношения между Гитлером и Гели испортились. По некоторым данным, она хотела расстаться с ним и уехать в Вену, где планировала учиться пению и где, предположительно, у нее был любовник, однако Гитлер ей это запретил. 19 сентября 1931-го они снова поспорили, и Гитлер уехал в Гамбург, а спустя некоторое время ему сообщили о смерти Раубаль. «Когда Гели умерла, Гитлер исчез на три дня и три ночи», — рассказал писатель, отметив, что будущий фюрер даже хотел покончить с собой. При этом, по словам автора романа, в кончине Гели все неоднозначно. По некоторым данным, она совершила самоубийство, осознав невозможность сбежать от Гитлера. Однако ряд свидетельств говорит о том, что Гели могла быть убита по приказу Гитлера, который ревновал ее, или его сторонников, чтобы связь с ней не помешала его продвижению во власти. Массими считает, что к этому был причастен друг и личный фотограф Гитлера  Генрих Гофман  — он якобы застрелил Гели из того же пистолета, с помощью которого в 1945-м покончил с собой фюрер, пишет El Espanol. После смерти возлюбленной Гитлер распорядился закрыть комнату, в которой она умерла, превратив ее в своеобразный мавзолей. При этом в кабинетах фюрера всегда был портрет или бюст Гели. По словам Массими, на одном из заседаний Нюрнбергского трибунала рейхсмаршал Третьего рейха  Герман Геринг  заявлял, что смерть племянницы стала последней каплей для Гитлера, после которой он потерял остатки человечности. По мнению писателя, если бы Гели была жива, возможно, история всего мира сложилась бы иначе. В 2019 году профессор Томас Лундмарк в своей книге о гражданской жене фюрера  Еве Браун   заявил , что она никогда не занималась сексом с Гитлером из-за редкого гинекологического заболевания. Суть отношений Гитлера и Браун профессор объяснил тем, что женщина предложила лидеру нацистской Германии защиту от слухов о его личной жизни.",Наука и техника,Ценности
"«Ньюкасл »на своем поле разгромил «Шеффилд Юнайтед» в матче 30-го тура Английской премьер-лиги (АПЛ). Об этом сообщает корреспондент «Ленты.ру». Встреча прошла в воскресенье, 21 июня, и завершилась со счетом 3:0 в пользу хозяев. В первом тайме зрители не увидели голов. Во второй половине игры у сорок отличились  Аллан Сент-Максимен , Мэтт Ричи и Жоэлинтон. Победа позволила «Ньюкаслу» набрать 38 очков и выйти на 12-е место в чемпионате. В активе «Шеффилда» 44 очка, команда занимает седьмую позицию. В следующем туре «Ньюкасл» 24 июня на своем поле примет «Астон Виллу». «Шеффилд» в тот же день на выезде сыграет с « Манчестер Юнайтед ».",Спорт,Спорт
"Популярная американская плюс-сайз-модель и активистка бодипозитива Эшли Грэм опубликовала в соцсетях видео домашней тренировки, а также продемонстрировала поклонникам свое тело после родов. Публикация появились в сторис ее  Instagram -аккаунта. В ролике Грэм на коврике практикует йогу и снимает упражнения на камеру смартфона. Она одета в черный спортивный топ и синие шорты-велосипедки. На последующих кадрах 32-летняя знаменитость танцует перед объективом в красном бикини с мокрыми волосами. По информации издания Daily Mail, в настоящий момент модель находится в доме своей матери в Небраске, где поселилась вместе с мужем, режиссером Джастином Эрвином, и пятимесячным сыном Исааком после вспышки пандемии коронавируса. В июне Эшли Грэм  покормила  ребенка на съемке для модного издания Harper's Bazaar. На фото, размещенном на обложке, она держит на руках сына и кормит его грудью на камеру. Ее запечатлели в поле в белом длинном платье с несколькими вырезами, которые оголяют ее ноги. Грэм также попозировала в светлом бюстгальтере, легинсах и белом халате.",Ценности,Ценности
"Американский  журнал Time  поместил на обложку рисованное изображение председателя КНР  Си Цзиньпина  в медицинской маске. Передовица издания доступна на его официальном  сайте , а также в  Twitter -аккаунте журнала. Посвященная китайскому лидеру статья называется «Вспышка коронавируса может разрушить мечты Си Цзиньпина о китайском веке». В ней журналист Time рассуждает о том, как связанный с распространением коронавируса кризис повлиял на китайское общество и какие проблемы он продемонстрировал. В частности, автор статьи рассказал о хрупкости существующей в Китае системы управления страной и негативных сторонах чрезмерной централизации власти. Ранее таблоид Jyllands-Posten  опубликовал  карикатуру, на которой пять звезд на государственном флаге КНР заменили изображением коронавируса. Посольство Китая в Дании посчитало изображение оскорбительным, заявило, что свобода слова в данном случае «вышла за пределы этических границ», и потребовало извинений. Число заболевших пневмонией, вызванной вирусом 2019-nCoV, в Китае превысило 28 тысяч, умерли 565 человек. Вспышка коронавируса впервые была зафиксирована в китайском Ухане в конце декабря 2019 года. Помимо КНР, случаи заболевания выявлены более чем в 20 странах.  ВОЗ  уже признала вспышку коронавируса 2019-nCoV чрезвычайной ситуацией международного значения. Специалисты не исключают, что вспышка вируса перерастет в пандемию.",Интернет и СМИ,Интернет и СМИ
"Крупнейшая российская биржа — Московская — попадет под суд из-за претензий трейдеров, которые лишились прибыли при игре на падающей нефти американской марки WTI, сообщает  РИА Новости  со ссылкой на представляющую истцов юридическую компанию Milton Legal. Поводом для иска может послужить преждевременное закрытие торгов во время сессии 20 апреля, по итогам которой было зафиксировано первое в истории падение цен на майские фьючерсы WTI. На нью-йоркской площадке NYMEX котировки достигли минус 40 долларов за баррель, однако  Московская биржа  остановила торги на уровне 8,84 доллара. Из-за этого, как утверждается, некоторые инвесторы, прежде купившие контракты по более высокой цене, не смогли вовремя закрыть позицию: продать фьючерсы или поставить заявку на фиксирование потерь «стоп-лосс». В итоге окончательные финансовые результаты рассчитывались по цене NYMEX, но российские трейдеры с определенного момента не могли повлиять на ситуацию. Убыток каждого истца от действий руководства Московской биржи, как сообщается, составил почти 48 долларов за один не проданный вовремя контракт. Сама биржа ранее объясняла закрытие торгов технической неподготовленностью: инфраструктура площадки не предусматривала возможность отрицательных цен. Во время самой сессии 20 апреля многие аналитики критиковали NYMEX за продолжение торгов вопреки стандартному для бирж правилу их остановки при слишком сильном колебании цен. На Нью-Йоркской бирже торгуется поставочный фьючерс. Это означает, что любое колебание котировок не отражается на трейдерах, зафиксировавших цену при покупке или продаже. На Московской бирже торгуется расчетный контракт, по которому не предусмотрена поставка базового актива в последний день торгов. Итоговый финансовый результат участников складывается из вариационной маржи, которая начисляется или списывается с их счета в конце каждого дня, — цена для них не фиксирована, а потому возможны как прибыли, так и убытки. 23 апреля стало известно, что в США началось расследование по поводу возможного незаконного обогащения российских трейдеров, торговавших контрактами на нефть в период сильной волатильности последних двух месяцев и обладавших при этом инсайдерской информацией. О конкретных параметрах сомнительных сделок ничего не сообщалось.",Экономика,Экономика
"Приверженцы схиигумена Сергия (Романова) из Среднеуральского женского монастыря стерли все материалы съемочной группы телеведущей  Ксении Собчак . Об этом сообщает  URA.RU. На опубликованных кадрах Собчак и ее оператор у здания полиции делятся впечатлениями от инцидента в монастыре. По словам журналистов, монахини отобрали у них оборудование и стерли все отснятые данные. «Оказывается, у всех монашек iPhone, на которые они снимают, и еще и флешки умеют форматировать», — сказал оператор. Собчак обратила внимание на слаженность действий охраны монастыря и монахинь. Телеведущая сравнила их со спецназом. «Даже по тому маленькому видео, которое удалось снять, видно, что они действуют абсолютно профессионально, такое ощущение, что это подготовленные спецназовцы: они нас рассекли, по отдельности избили мужчин и держали меня, чтобы я не могла выйти из монашеского круга. Сейчас я понимаю, что это очень профессиональные действия», — заявила она. Ранее 27 июня Собчак в своем Telegram-канале  сообщила , что во время съемок в монастыре на ее команду было совершено нападение. Она вместе со съемочной группой  находится  в Екатеринбурге, где пройдет церковный суд над схиигуменом Сергием. Позже телеведущая  разместила  в сети видеозапись нападения. На кадрах видно, что Собчак не позволяют пройти в монастырь, чтобы поговорить со схиигуменом Сергием. Перегородившие ей дорогу служители церкви атаковали оператора Сергея, после чего отобрали и сломали его камеру. Также на записи запечатлен момент нападения на Филиппа — бывшего послушника монастыря — и на саму журналистку.",Интернет и СМИ,Интернет и СМИ
"В России зарегистрировали новую тест-систему для выявления антител к коронавирусу, разработанную государственным научным центром «Вектор». Об этом сообщили в пресс-службе  Роспотребнадзора , передает  РИА Новости . Отмечается, что система позволит выявлять переболевших коронавирусом, изучать популяционный иммунитет и проводить оценку эффективности разрабатываемых вакцин против заболевания. Выданное регистрационное удостоверение является бессрочным. Ранее  Федеральное медико-биологическое агентство  (ФМБА)  представило  две новые тест-системы: для быстрого выявления коронавируса и для обнаружения антител. В частности, тест на антитела в сыворотке крови представляет собой «96-луночный планшет с оптической регистрацией результатов». Отмечалось, что система будет зарегистрирована в начале следующей недели. До этого столичный департамент здравоохранения  предупредил  врачей о частых случаях ложных отрицательных результатов на коронавирус. Это может увеличить риски развития тяжелых форм заболевания.",Наука и техника,Наука и техника
"Генеральный директор «Сочи» Дмитрий Рубашко прояснил будущее нападающего  петербургского «Зенита»   Александра Кокорина . Его слова приводит  «Чемпионат.com» . «Все уже написано и озвучено. Он сейчас играет за ""Зенит""? А кто вам сказал, что он сейчас в ""Сочи""?» — заявил Рубашко. По его словам, руководство «Зенита» не объявило об аренде Кокорина, так как трансферное окно еще открыто. Ранее 21 января «Сочи»  объявил  об аренде 28-летнего форварда у «Зенита». При этом футболист находится на сборах с сине-бело-голубыми в Катаре и  отметился  хет-триком в товарищеском матче против местной команды. В сентябре 2019-го Кокорин вернулся в «Зенит» после освобождения из колонии. Вместе с другим футболистом  Павлом Мамаевым  он находился под стражей с октября 2018-го. Игроков задержали и впоследствии осудили за участие в двух драках в Москве.",Спорт,Спорт
"Мультимиллионер из Великобритании Питер Доу предложил ночевать бездомным в мусорных баках. Он изобрел капсулу для сна из двух красных контейнеров на колесиках, которая стоит 100 фунтов стерлингов (8,2 тысячи рублей). Об этом пишет Daily Mirror. По словам Доу, баллотировавшегося в Кембридже от партии Брексита на выборах 2019 года, его изобретение может иметь мировое значение. Когда мультимиллионера спросили, а спал ли он сам в капсуле, тот ответил, что лежал в ней 10 минут. Известно, что ранее мужчина уже создал одноместный автомобиль из мусорных баков. «Я увидел по телевизору бездомных, которые жаловались, что их пинают и мочатся на них. Когда вы лежите на улице в спальном мешке, вы очень уязвимы. Я не решаю проблему бездомных, просто даю им возможность», — рассказал Доу об идее появления «мусорного дома». Мультимиллионер предположил, что его изобретение, когда человек бодрствует, может быть использовано как место для хранения одежды и других вещей. Когда мужчина принес две капсулы в кембриджский приют для бездомных, то никто не подошел воспользоваться изобретением. В сети «спальня» из мусорных баков была воспринята негативно. «Это, возможно, одно из худших и самых унизительных изобретений, которые я когда-либо видел», «Имейте в виду, что вы можете купить дешевую палатку за эти же деньги, и это действительно поможет вам переночевать на улице», — написали интернет-пользователи.",Дом,Дом
"Отдохнувшая в Сочи россиянка раскрыла схемы обмана туристов на черноморском курорте. Наблюдениями девушка поделилась в своем блоге «Нескучная жизнь» на платформе « Яндекс Дзен ». Как отметила туристка, с мошенниками на курорте можно встретиться уже при аренде жилья, оплатив его на фейковом сайте или наткнувшись на ложное объявление, — на месте окажется, что квартира не сдается, а получивший деньги человек не является ее хозяином. «Или бронируете номер по хорошей стоимости, но, когда приезжаете, оказывается, что по какой-либо причине в гостиницу заселиться нельзя. И вам предложат варианты по более высокой цене. Учитывая положение, большинство соглашаются», — написала автор блога. Также, по ее словам, местные жители обманывают туристов при продаже экскурсий. «Уличные бюро продают вам тур, скажем, по цене 700 рублей против ценника отеля 2300 рублей. Во время экскурсии вдруг выясняется, что нужно еще заплатить за вход в достопримечательность, например, на Красной Поляне это будет 1700 рублей. Вам ""забыли"" сказать об этом сразу», — отметила путешественница. Также, добавила она, во время экскурсии туристов могут завезти на обед или дегустацию с ценами «в три-четыре раза выше, чем в самом городе». Кроме того, по словам туристки, некоторые местные жители продают приезжим дешевое заводское вино, выдавая его за домашнее, и обвешивают их на рынках при покупке фруктов или овощей сетками. «Вместо озвученных 15 килограммов может быть только восемь», — отметила россиянка. Ранее крымские журналисты  раскрыли  новые схемы обмана туристов на полуострове. По их словам, мошенники создали фальшивые сайты для бронирования отелей и начали продавать российским туристам путевки в закрытые и несуществующие гостиницы.",Путешествия,Путешествия
"Пользователей сети возмутила реклама видеоигры Conflict of Nations: World War 3, которая отсылает к убийству США иранского генерала в Ираке. На произошедшее обратило внимание издание Daily Mail. Реклама стратегии появилась в  Twitter . «Иран начинает Третью мировую войну? Прямо сейчас смоделируйте в Conflict of Nations любой сценарий, какой только можете придумать!» — говорится в описании. В сообщении также используется популярный хештег про приближение войны — #WWIII: под ним в сети  делятся  впечатлениями от первых дней 2020 года. Реклама отсылает к ухудшению отношений между Ираном и США из-за американской операции, во время которой был убит генерал элитного иранского спецподразделения «Аль-Кудс»  Касем Сулеймани . Подобное использование ситуации для раскручивания Conflict of Nations пользователи сочли по меньшей мере неуместным. «Я люблю стратегии, но это невероятно безвкусная и отвратительная реклама. Позор вам», —  прокомментировал  один из юзеров. «Давайте проясним: если Третья мировая действительно случится, то ее начнут США и  Дональд Трамп , а не Иран», —  написал  другой. Он также охарактеризовал игру как «дерьмовую пропаганду». Под рекламным постом пользователи массово отметили, что пожаловались на рекламу. Conflict of Nations — бесплатная военная стратегическая игра. Ее разрабатывает гамбургская студия Dorado Games. Комментариев со стороны компании пока не поступало. Глава «Аль-Кудс» Корпуса стражей исламской революции Касем Сулеймани был убит 3 января в ходе ракетного удара США по аэропорту Багдада. Приказ об уничтожении был отдан лично американским президентом Дональдом Трампом. Глава  МИД  Ирана Мохаммад Джавад Зариф  назвал  действия США проявлением терроризма, а бывший командующий КСИР пообещал отомстить за гибель Сулеймани.",Интернет и СМИ,Интернет и СМИ
"Российская супермодель  Ирина Шейк  рассказала о расставании с американским актером  Брэдли Купером . Об этом пишет  Super.ru . По ее словам, два прекрасных человека не обязательно смогут создать хорошую пару. «Я думаю, нам очень повезло пережить то, что было между нами», — сказала Шейк. Она добавила, что является сильной личностью и некоторые мужчины боятся этого. Модель подчеркнула, что если кто-то уходит из ее жизни, то уходит окончательно. «Я действительно рву все связи. Думаю, некоторые в самом деле боятся этой холодности. Немногие знают, что под всем этим — добрый, милый человек, который плачет в интервью», — добавила Шейк. В июне прошлого года  сообщалось , что Ирина Шейк и Брэдли Купер расстались после четырех лет отношений. Отмечается, что пара согласилась оформить равноправную опеку над их двухлетней дочерью Леей де Сейн (Lea De Seine). Документ пока официально не подписан.",Ценности,Ценности
