text,true_label,ai_label
"На Кубани российскую туристку унесло на надувном матрасе в открытое море. Об этом сообщается на официальном  сайте  регионального управления МЧС России. Инцидент произошел днем в среду, 29 июля, на Ясенской Косе в Приморско-Ахтарском районе. В ведомство поступил сигнал о том, что пятилетняя девочка на надувном матрасе в виде лебедя оказалась в акватории Азовского моря и отцу не удается ее спасти. Прибывшие на место спасатели обнаружили ребенка в трех километрах от берега, они подняли отдыхающую на борт вместе с родителем, который пытался догнать матрас вплавь. «Ребенок все это время спал на матрасе», — указано в сообщении. В результате медицинская помощь россиянке не потребовалась. Отмечается, что место произошедшего является запрещенным для купания. 5 июня сообщалось, что жительница Москвы во время прыжка с парашютом  зависла  в одном из ущелий Кабардино-Балкарии и осталась там на сутки. Инцидент произошел в Эльбрусском районе, между сельскими поселениями Бедык и Былым. Согласно данным МЧС России, группа бейсджамперов из трех человек совершила аварийную посадку на скальный рельеф.",Путешествия,Из жизни
"Банк Англии в ходе экстренного заседания понизил базовую ставку с 0,75 процента до 0,25 процента. На крайние меры пришлось пойти из-за ситуации с коронавирусом, говорится в  сообщении  регулятора. Непосредственным поводом для таких изменений стало резкое падение цен на рисковые активы и сырьевые товары, а также рекордный минимум доходности государственных облигаций. В совокупности это привело к экстремальному уровню неопределенности на финансовом рынке и заметно ухудшило перспективы национальной экономики. Наиболее критична ситуация для малых предприятий. В регуляторе признали, что эпидемия коронавируса стала экономическим шоком, который может приобрести и более значительные масштабы. Среди других мер, анонсированных Банком Англии — новая программа финансирования банков, чтобы те смогли кредитовать малый и средний бизнес по выгодным для него условиям. Речь идет о кредитах на срок до четырех лет по ставкам на уровне базовой, то есть установленные 0,25 процента. Банк Англии неохотно изменяет ставку. В ноябре 2017 года он впервые за десять лет поднял ее с 0,25 до 0,5 процента. А в начале августа ставка выросла до 0,75 процента, после чего не менялась. Неожиданное решение подстегнуло европейские биржи. Основные индексы — британский индекс FTSE 100, CAC 40 и немецкий индекс DAX растут в пределах 1-2 процентов. Ранее на аналогичные меры  пошла   Федеральная резервная система  (ФРС) США. Впервые со времени кризиса 2008 года регулятор 3 марта опустил ставку сразу на 0,5 процентных пункта — до 1-1,25 процента. Банк России  на фоне падения нефтяных котировок и, как следствие, снижения курса рубля начал продавать валюту для уменьшения волатильности. В регуляторе  не исключили  и применения других мер. Ранее при обвале национальной валюты Центробанк повышал ключевую ставку, однако пока в этом  не видят  необходимости.",Экономика,Экономика
"Популярная косметическая процедура обернулась опасным заражением для жительницы США. Ее историю опубликовал Daily Mail. Американка Шеннон Бозелл (Shannon Bozell) из Каламазу пожаловалась на местный салон красоты в социальной сети. В своем посте она рассказала о последствиях микроблейдинга бровей (процедура мануального татуажа, создающего имитацию волосков на коже) и приложила к нему несколько фотографий. «Самые уродливые брови в Каламазу», — заключила недовольная клиентка. 44-летняя женщина поделилась, что тщательно выбирала мастера, и в итоге решила пойти к владелице местного салона Энн Хикс (Anne Hicks). Результат процедуры ее не устроил, поскольку брови получились слишком темными, а их форма — неестественной. Мастер пообещала скорректировать свою работу, однако после повторного посещения салона брови американки воспалились и под ними образовались волдыри. Клиентка попросила вернуть ей деньги за неудачный микроблейдинг, но получила отказ. Владелица салона заявила, что предлагала посетительнице исправить все недочеты, но та отказалась. «Она хотела, чтобы я вернулась в третий раз, но я больше никогда не дам этой женщине прикоснуться к моему лицу», — написала Бозелл. Пользователи сети поддержали женщину. «Какой кошмар, тебе следует подать на мастера в суд», «Это самый ужасный микроблейдинг, который я когда-либо видела», «Бедная женщина, ей обязаны выплатить деньги за моральный ущерб, а салон должны срочно закрыть», — написали они в комментариях. В январе 2020 года неумелая стажерка  нарастила  клиентке ресницы и почти лишила ее зрения. Англичанка Лейни Палмер (Lainey Palmer) попала в больницу после неудачного посещения салона красоты. Начинающая специалистка не взяла денег за услугу, но оставила девушку с воспаленными глазами и поврежденными ресницами, которые не удалось восстановить.",Ценности,Из жизни
"Португальский нападающий туринского «Ювентуса»  Криштиану Роналду  погрузился на глубину 14 метров без акваланга. Спортсмен опубликовал видео из отпуска в  Instagram . На записи видно, как футболист опускается на дно с помощью троса с привязанным к нему грузом. После этого Роналду поднимается на поверхность. «Сегодня я проснулся и подумал: ""Интересно, что происходит в море?"". Зовите меня Нептуном», — подписал публикацию португалец. Роналду сопроводил пост хештегами: #непытайтесьповторить и #14метров. 14 августа Роналду и его невесту Джорджину Родригес  засняли  папарацци. Футболист проводит отпуск на собственной яхте на Лазурном берегу Франции в Сен-Тропе. 8 августа «Ювентус» вылетел из Лиги чемпионов, уступив французскому «Лиону» по итогам двухматчевого противостояния в 1/8 финала турнира. Таким образом, сезон для туринцев завершился. До этого команда выиграла чемпионат Италии.",Спорт,Спорт
"Пользователь  Reddit  с ником Thtowawaygayflower рассказал о том, как разоблачил знакомую бьюти-блогершу, которая попыталась украсть его средства по уходу за телом. Мужчина добавил, что довел девушку до слез, однако в комментариях к его посту на портале многие поддержали его, написав, что он поступил правильно. Автор поста сообщил, что старается вести здоровый образ жизни и покупать себе только дорогую и качественную уходовую косметику. Он живет с соседкой, однако она никогда не трогает его вещи в ванной. Конфликт произошел, когда к соседке пришла подруга. По словам мужчины, эта девушка позиционирует себя как бьют-блогерша. Она обозревает различные косметические средства, но не покупает их, а, как он считает, ворует у знакомых. Когда девушка гостила у них, она решила воспользоваться косметикой, принадлежавшей Thtowawaygayflower. Узнав об этом, он зашел в комнату, в которой она проводила прямой эфир, и сказал: «Нет, это мои вещи. Если ты хочешь пользоваться ими, найди работу и купи их сама». Позже блогерша пожаловалась ему, что он довел ее до слез и что из-за его заявления она потеряла всех своих подписчиков. В комментариях пользователи портала поддержали мужчину. Многих возмутило то, что бьюти-блогерша планировала протестировать косметику автора поста, даже не спросив его разрешения. В комментариях также согласились с тем, что ее поступок является воровством, и посоветовали мужчине прятать свои вещи каждый раз, когда она приходит. Ранее пользовательница Reddit  рассказала  о том, что перестала общаться с семьей после того, как мать сообщила о своей беременности всем, кроме нее. Девушка, не будучи уверенной в правильности своего решения, попросила оценить ее поступок и нашла поддержку. В комментариях многие похвалили ее за то, что она смогла вырваться из «токсичной среды».",Интернет и СМИ,Из жизни
"Генеральный директор  «Роскосмоса»   Дмитрий Рогозин  объяснил, почему он против объединения усилий с американской  компанией SpaceX  Илона Маска. Об этом он написал в своем  Twitter . «Он подрядчик  Пентагона . О каком объединении вы говорите?» — отреагировал Рогозин на соответствующий вопрос подписчика. Он добавил, что разворачиваемая компанией SpaceX спутниковая группировка Starlink, предназначенная для обеспечения жителей Земли глобальным широкополосным доступом в интернет, будет иметь двойное применение и использоваться в военных целях. «Не стройте иллюзий, граждане», — подчеркнул глава «Роскосмоса». Ранее в апреле Дмитрий Рогозин  заявил , что многоразовые ракеты менее экономически эффективны по сравнению с одноразовыми. По его словам, половина топлива уходит на то, чтобы вернуть ступени ракеты Falcon-9 от SpaceX на Землю.",Наука и техника,Наука и техника
"Названы клубы, претендующие на покупку аргентинского нападающего «Барселоны»  Лионеля Месси . Об этом сообщает The Sun. Наиболее высокие шансы у трех европейских грандов. Французский «Пари Сен-Жермен», итальянские «Ювентус» и «Интер» — все три клуба претендуют на форварда каталонцев. Отмечается, что ПСЖ способен предложить крупную сумму за переход аргентинца, в то время, как в Италии Месси мог бы платить меньше налогов, чем в Испании, что также может повлиять на выбор самого футболиста. 21 августа стало известно, что в руководстве сине-гранатовых  допустили  возможную продажу 33-летнего звездного игрока. При этом в «Барселоне» постараются удержать Месси. Нынешний контракт аргентинца с клубом истекает летом 2021 года. Клуб уже поменял тренера после разгромного поражения в четвертьфинале Лиги чемпионов от мюнхенской «Баварии». Команду покинул  Кике Сетьен , его место  занял  бывший футболист «Барселоны» голландец  Рональд Куман . Последний уже провел встречу с Месси. О недовольстве Месси ситуацией в клубе было известно и до вылета «Барселоны» из Лиги чемпионов. В минувшем сезоне команда осталась без трофеев.",Спорт,Спорт
"Работа Товарковского сахарного завода в Тульской области была приостановлена в связи с окончанием сезона. Об этом сообщает принадлежащее  Григорию Березкину  РБК. Предприятие принадлежит структуре  Россельхозбанка . Решение о возобновлении производства на следующий сезон пока не принято. Судьбу завода будет решать либо банк, либо купивший актив инвестор. Ранее Союзроссахар  сообщил , что в России из-за низких цен на сахар и убытков несколько предприятий могут остановить работу. Речь шла о Мелеузовском сахарном заводе в Башкирии, Нурлатском заводе в Татарстане и Товарковском заводе в Тульской области. Закрытие производств  может привести  к росту цен. По словам исполнительного директора ассоциации Руспродсоюз Дмитрия Вострикова, в России в настоящее время наблюдаются рекордно низкие цены на сахар из-за перепроизводства на протяжении последних лет, больших переходящих запасов и сложностей с экспортом. В связи с этим эффект на цены от закрытия заводов будет небольшим.",Экономика,Экономика
"Жительница китайской провинции Хубэй родила двух братьев-близнецов с интервалом в десять лет. Об этом сообщает издание Daily Mail. В 2009 году 41-летняя женщина обратилась к специалистам, чтобы зачать ребенка путем экстракорпорального оплодотворения (ЭКО). Из нескольких оплодотворенных эмбрионов в ее матку был перенесен лишь один, остальные заморозили. Беременность завершилась рождением первого ребенка, которого назвали Лу-Лу. В 2019 году женщина поддалась уговорам сына, давно просившего братика или сестричку. При повторном ЭКО использовался один из замороженных эмбрионов, хранившихся с 2009 года. Во вторник, 16 июня, на свет появился ее второй ребенок, которого окрестили Тун-Тун. «С медицинской точки зрения Лу-Лу и Тун-Тун — братья-близнецы», — заявил один из врачей, помогавших женщине. Вес Тун-Туна совпал с весом новорожденного Лу-Лу десять лет назад и составил 3,48 килограмма. Ранее  сообщалось , что жительница английского графства Хартфордшир, которая не могла иметь детей, стала матерью благодаря лучшей подруге. Женщина решилась на такой шаг после того, как пережила пять выкидышей, две внематочные беременности и удаление фаллопиевых труб.",Из жизни,Из жизни
"Лучшей актрисой 2019 года по версии национальной кинематографической премии «Золотой орел» стала Виктория Мирошниченко за роль в фильме «Дылда». Об этом пишет  РИА Новости . Церемония награждения началась вечером в пятницу в первом павильоне киноконцерна «Мосфильм». За звание лучшей актрисы также боролись  Стася Милославская  («Бык») и  Ирина Старшенбаум  («Т-34»). Фильм «Дылда» рассказывает историю двух молодых женщин, которые возвращаются в послевоенный Ленинград и пытаются начать новую жизнь. Премьера киноленты состоялась 16 мая 2019-го на Каннском кинофестивале. Позднее режиссера включили в список «30 самых перспективных россиян моложе 30 лет» по версии  журнала Forbes , а фильм «Дылда»  вошел  в шорт-лист претендентов премию на «Оскар». «Золотой орел» вручается с 2002 года. Победителей выбирает Национальная академия кинематографических искусств и наук России.",Культура,Культура
"Конференция католических епископов в конце апреля отправила письмо на имя генерального прокурора США  Уильяма Барра  (William Barr) с просьбой начать борьбу против вреда, которое оказывает на общество порноиндустрия. Об этом пишет  Forbes . Священники призвали  министерство юстиции  ввести законы, направленные против «непристойности», расследовать деятельность владельцев порносайтов, а также вдохновить штаты на то, чтобы «расправиться с порно». Кроме того, в письме говорится, что секс-индустрия использует растущее у людей чувство одиночества на фоне кризиса, вызванного коронавирусом. Также отмечается, что епископы хотят бороться с насилием и эксплуатацией людей. Порно, становясь все более распространенным, приносит большие проблемы, считают авторы обращения. «Беспрецедентный, неограниченный и анонимный доступ к порно приводит к тому, что пользователи все чаще ищут крайне жестокие видео», — опасаются священнослужители. Кроме того, они полагают, что разрушения института брака во многом связанно именно с негативным влиянием порно. Майкл Стэйбл (Michael Stabile), представитель компании Kink.com, выпускающей БДСМ-видео, рассказал, что  католическая церковь  не в первый раз пытается цензурировать порно, приводя в качестве примера именно фетиш-ролики. «Епископы не обеспокоены насилием или эксплуатацией. Они обеспокоены тем, что люди принимают сексуальность без стыда», — считает он. По мнению Стэйбла, выводы церкви основываются на недоказанных связях, а не на научных фактах. В марте 20-летняя порноактриса Виена Роуз (Vienna Rose)  предостерегла  других девушек от работы в индустрии для взрослых и развенчала мифы о карьере в порно. Так, она рассказала, что представление о том, что работницы секс-индустрии зарабатывают огромные деньги, ошибочно. Кроме того, она отметила, что жизнь деятеля порноиндустрии в Лос-Анджелесе не так роскошна, как это представляется.",Интернет и СМИ,Ценности
"Чемпион мира по бегу с барьерами  Сергей Шубенков  в прямом эфире в  Instagram  журналистки Марии Командной поделился мнением о том, какой политический строй сейчас действует в России. «У нас сейчас самый обыкновенный периферийный капитализм. Такой полупериферийный. Мы не совсем Африка или Юго-Восточная Азия, но как-то так. К центру поближе, но не центр», — порассуждал Шубенков. Спортсмен посчитал, что после социалистической революции Россия вернулась обратно. 17 апреля Шубенков  рассказал  об отношении к социализму и СССР. Он посчитал, что в СССР «общество было объединено на понятии, что человек человеку друг и товарищ». Шубенков — чемпион мира 2015 года. На его счету два серебра и бронза мировых первенств. На международных соревнованиях россиянин выступает в нейтральном статусе из-за отстранения Всероссийской федерации легкой атлетики.",Спорт,Ценности
"Бездомный житель английского города Лэйтон-Баззард, графство Бедфордшир, спальным мешком поймал брошенного из окна горящего дома ребенка. Об этом сообщает Unilad. Во вторник, 17 марта, в трехэтажном доме произошло возгорание. Предположительно, причиной пожара стало короткое замыкание в электроприборе на кухне, расположенной на первом этаже. После пожар распространился на все здание. Бездомный  Джейсон Барри  (Jason Barry) заметил пламя и поспешил на помощь до прибытия спасателей. Он при помощи спального мешка поймал ребенка, которого спустили из окна первого этажа. Позже пожарные спасли из горящего здания еще троих человек. В результате никто не пострадал. После случившегося пожарные опубликовали фотографию Барри на странице в Facebook и поблагодарили его за решительные и самоотверженные действия. Один из комментаторов написал: «Джейсон, ты настоящий герой. Ты должен гордиться собой. Мы все гордимся тобой. Большое спасибо тебе. Пожалуйста, помогите этому мужчине найти дом. Он, действительно, заслуживает этого больше, чем многие другие». Ранее  сообщалось , что житель Лондона по имени Лоуренс (Lawrence) стал бездомным и ночевал в аэропорту, пока не воспользовался шансом от благотворительной организации, начав работать для получения профессии мечты. По словам Лоуренса, еще ребенком он хотел работать в авиационной индустрии и любил ходить на авиационные шоу.",Из жизни,Из жизни
"Всемирная организация здравоохранения  (ВОЗ) заявила о вреде от одного из способов борьбы с коронавирусом — распыления дезинфицирующих средств. Об этом сообщает CNN. Отмечается, что речь идет о распылении дезинфицирующих средств на большой площади в закрытом помещении. Применение распылителя может повредить глаза, кожу и дыхательную систему. «Распыление или вапоризация определенных химикатов, таких как формальдегид, средств на основе хлора или соединений четвертичного аммония не рекомендуется из-за неблагоприятного влияния на здоровье», — уточнили в организации. В ВОЗ подчеркнули, что распыление дезинфицирующих средств на улицах также не рекомендуется, поскольку из-за смешения с грязью и пылью они перестают действовать. 6 апреля в США  опровергли  пользу препарата гидроксихлорохин в борьбе с коронавирусом.",Наука и техника,Наука и техника
"В южноафриканском национальном парке Крюгера нелепое противостояние львов и стада буйволов рассмешило очевидцев. Видео с животными опубликовано на канале Kruger National Park Videos в  YouTube . Кадры принадлежат местному туроператору Tim Brown Tours & Safari's города Дурбан. На запись попало, как пара львиц подкрадывается к многочисленному стаду буйволов, обращая их в бегство. Как только хищницы оказываются совсем близко, их противники оборачиваются и идут в ответное наступление. «Это так смешно и невероятно», — комментирует туристка за кадром. Львы отбегают на безопасное расстояние, после чего к ним присоединяется их сородич. Трио снова пытается атаковать буйволов и гонится за ними. Несмотря на численное преимущество, противники охотно подыгрывают и убегают прочь. Очевидцев повеселила развернувшаяся в дикой природе игра в «кошки-мышки». Вскоре к львицам на помощь прибежал лев. Таким образом животные продолжали бегать друг за другом, веселя наблюдавших за ними посетителей парка. Национальный парк Крюгера  находится на северо-востоке ЮАР. На его территории обитают около полутора тысяч львов, 12 тысяч слонов, 2,5 тысячи буйволов, около тысячи леопардов и пять тысяч носорогов. Ранее  сообщалось , что лев помог трусливой львице и показал ей, как охотиться на буйвола. Ролик был снят в национальном парке Тангариве в Танзании.",Из жизни,Из жизни
"Авиапассажир вступил в конфликт со стюардессой и оттолкнул ее ударом в лицо во время перелета. Произошедшее попало на видео, запись опубликовал таблоид Daily Mail. На размещенном в сети ролике видно, как темнокожий путешественник громко выясняет отношения с женщиной, после чего она дает ему пощечину, а он в ответ бьет ее по лицу. В результате бортпроводница падает на спинки кресел, а ее коллеги бросаются на пассажира. Как уточняет издание, инцидент произошел на рейсе бельгийской авиакомпании. Предположительно, турист в агрессивной форме пожаловался членам экипажа на одного из попутчиков, который якобы обидел его мать. Однако в разборку вмешались и другие пассажиры и представители летного состава, а также их начальница. Физическое противостояние начинается после того, как стюардесса угрожает туристу бедой, а он оскорбляет ее в ответ. В октябре прошлого года  сообщалось , что пилот и стюардесса авиакомпании Republican Airways подрались на борту самолета и попали на видео. Участниками драки оказались 36-летний пилот  Уильям Томас  и 29-летняя стюардесса Мариша Спорер. Они состояли в интимной связи.",Путешествия,Из жизни
"Цены на нефть могут восстановиться до 40-45 долларов за баррель во втором полугодии 2020-го. Такой прогноз сделал замглавы  Минэнерго России   Павел Сорокин , передает  Reuters . Сорокин предположил, что в 2021 году цены на сырье продолжат рост, если не случится непредвиденных ситуаций. По его словам, баррель нефти к тому моменту может стоить в районе 45-50 долларов. Ранее первый вице-премьер России  Андрей Белоусов   заявил , что экономика страны идет по «более-менее позитивному сценарию», несмотря на обвал цен на нефть. По его словам, признаки грядущего в 2020 году спада отсутствуют. 6 марта Россия вышла из сделки ОПЕК+, спровоцировав сильнейший с 1991 года обвал цен на нефть. На торгах 9 марта стоимость сырья опускалась на 30 процентов, до 31 доллара за баррель. Ситуация на мировых рынках привела к резкому ослаблению рубля на открытии торгов на  Московской бирже  10 марта и снижению стоимости российских акций. В Кремле заявили, что российская экономика обладает необходимым запасом прочности, чтобы пережить волатильность на рынке нефти.",Экономика,Экономика
"Главный тренер  сборной России  по биатлону  Анатолий Хованцев  заявил, что  Александр Логинов  до последнего думал отказаться от участия в эстафете на чемпионате мира. Это желание возникло у спортсмена из-за утренних обысков, которые провела в его номере в гостинице итальянская полиция, передает «Спорт-Экспресс». По словам Хованцева, возникшая ситуация — это «заказ против России». Тренер также отметил, что обыски сильно выбили Логинова из колеи, и о своем согласии выйти на старт гонки спортсмен сообщил в последний момент. Биатлонист  Евгений Гараничев , который делит с Александром номер, о желании выступить в эстафете заявил сразу же. Гараничев ранее 22 февраля  рассказал , что полиция пришла в их номер в шесть утра. Глава Союза биатлонистов России (СБР)  Владимир Драчев  заявил, что поводом для проверки стало нарушение со стороны одного из членов отечественной делегации. Александр Касперович, тренер Логинова, воспользовался аккредитацией, выданной украинскими коллегами. При этом итальянских силовиков уведомили о дисквалификации Логинова за нарушение антидопинговых правил в 2014-м. Представители  правоохранительных органов  уделили особое внимание россиянину, изъяв его телефон, компьютер и проведя обыск в машине. Посольство России в Риме  потребовало  разъяснений у итальянской стороны. Логинов с ноября 2014 года по ноябрь 2016-го был отстранен от спорта за применение запрещенного препарата эритропоэтина.",Спорт,Спорт
"В одном из магазинов петербуржцам начали выдавать книги на лопате. Об этом сообщает издание «Бумага». Уточняется, что магазин «Фаренгейт 451», расположенный на улице Маяковского, таким образом начал осуществлять бесконтактную продажу, чтобы снизить вероятность заражения коронавирусом. Владелец Платон Романов пояснил, что покупателям протягивают товар через окно, поэтому им не приходится контактировать с работниками. По словам Романова, после введения режима самоизоляции продажи резко упали, поэтому магазин начал продавать всего одну-две книги в день. В связи с этим было принято решение дарить посетителям маску при покупке трех товаров. Романов добавил, что еще месяц карантина может стать фатальным для «Фаренгейта 451». В марте  было опубликовано  исследованием о том, что россияне будут читать во время самоизоляции. Они планируют ознакомиться с произведениями  Стивена Кинга , романами  Бориса Акунина , антиутопией  Айн Рэнд  «Атлант расправил плечи», «Войной и миром» и « Анной Карениной »  Льва Толстого , «Мастером и Маргаритой»  Михаила Булгакова .",Культура,Дом
